Time   | Frame  | Pose  | Hand  | Raw Handedness   | History | Top-1 Pred             | Top-2 Pred            
10.72s |    290 | True  | True  | Right:0.98       |      30 | sorry (90.4%)          | good (3.8%)           
10.79s |    292 | True  | False | None             |      30 | sorry (90.4%)          | good (3.8%)           
10.86s |    294 | True  | False | None             |      30 | sorry (90.4%)          | good (3.8%)           
10.94s |    296 | True  | False | None             |      30 | sorry (90.4%)          | good (3.8%)           
11.01s |    298 | True  | False | None             |      30 | sorry (90.4%)          | good (3.8%)           
11.08s |    300 | True  | True  | Right:0.91       |      30 | sorry (89.8%)          | good (5.5%)           
11.16s |    302 | True  | False | None             |      30 | sorry (89.8%)          | good (5.5%)           
11.23s |    304 | True  | False | None             |      30 | sorry (89.8%)          | good (5.5%)           
11.31s |    306 | True  | False | None             |      30 | sorry (89.8%)          | good (5.5%)           
11.38s |    308 | True  | True  | Right:0.98       |      30 | sorry (90.2%)          | good (4.4%)           
11.45s |    310 | True  | True  | Right:0.94       |      30 | sorry (90.7%)          | good (3.8%)           
11.53s |    312 | True  | False | None             |      30 | sorry (90.7%)          | good (3.8%)           
11.60s |    314 | True  | True  | Right:0.67       |      30 | sorry (92.5%)          | goodbye (3.6%)        
11.68s |    316 | True  | True  | Right:0.99       |      30 | sorry (94.2%)          | goodbye (3.8%)        
11.75s |    318 | True  | True  | Right:0.98       |      30 | sorry (93.4%)          | goodbye (5.4%)        
11.82s |    320 | True  | True  | Right:0.98       |      30 | sorry (89.2%)          | goodbye (8.7%)        
11.90s |    322 | True  | False | None             |      30 | sorry (89.2%)          | goodbye (8.7%)        
11.97s |    324 | True  | False | None             |      30 | sorry (89.2%)          | goodbye (8.7%)        
12.05s |    326 | True  | True  | Right:0.97       |      30 | sorry (86.4%)          | goodbye (10.1%)       
12.12s |    328 | True  | True  | Right:0.99       |      30 | sorry (70.8%)          | goodbye (18.8%)       
12.19s |    330 | True  | True  | Right:1.00       |      30 | sorry (40.8%)          | goodbye (22.9%)       
12.27s |    332 | True  | True  | Right:0.99       |      30 | sorry (39.8%)          | goodbye (26.1%)       
12.34s |    334 | True  | False | None             |      30 | sorry (39.8%)          | goodbye (26.1%)       
12.42s |    336 | True  | False | None             |      30 | sorry (39.8%)          | goodbye (26.1%)       
12.49s |    338 | True  | True  | Right:0.99       |      30 | goodbye (35.7%)        | sorry (20.5%)         
12.56s |    340 | True  | True  | Right:0.99       |      30 | goodbye (49.0%)        | sorry (13.4%)         
12.64s |    342 | True  | True  | Right:1.00       |      30 | goodbye (65.1%)        | sorry (13.3%)         
12.71s |    344 | True  | True  | Right:0.99       |      30 | goodbye (75.5%)        | sorry (10.8%)         
12.78s |    346 | True  | True  | Right:0.99       |      30 | goodbye (79.5%)        | sorry (10.0%)         
12.86s |    348 | True  | True  | Right:0.99       |      30 | goodbye (75.4%)        | sorry (12.3%)         
12.93s |    350 | True  | True  | Right:0.99       |      30 | goodbye (87.1%)        | sorry (5.8%)          
13.01s |    352 | True  | True  | Right:0.99       |      30 | goodbye (87.8%)        | sorry (4.5%)          
13.08s |    354 | True  | False | None             |      30 | goodbye (87.8%)        | sorry (4.5%)          
13.15s |    356 | True  | True  | Left:0.99        |      30 | goodbye (90.1%)        | no (3.6%)             
13.23s |    358 | True  | False | None             |      30 | goodbye (90.1%)        | no (3.6%)             
13.30s |    360 | True  | True  | Right:0.98       |      30 | goodbye (94.9%)        | no (1.6%)             
13.38s |    362 | True  | True  | Right:0.99       |      30 | goodbye (93.0%)        | no (2.2%)             
13.45s |    364 | True  | False | None             |      30 | goodbye (93.0%)        | no (2.2%)             
13.52s |    366 | True  | False | None             |      30 | goodbye (93.0%)        | no (2.2%)             
13.60s |    368 | True  | False | None             |      30 | goodbye (93.0%)        | no (2.2%)             
13.67s |    370 | True  | True  | Right:0.99       |      30 | goodbye (94.6%)        | hello (1.7%)          
13.75s |    372 | True  | True  | Right:1.00       |      30 | goodbye (96.4%)        | hello (1.5%)          
13.82s |    374 | True  | True  | Right:0.97       |      30 | goodbye (98.1%)        | hello (0.9%)          
13.89s |    376 | True  | False | None             |      30 | goodbye (98.1%)        | hello (0.9%)          
13.97s |    378 | True  | False | None             |      30 | goodbye (98.1%)        | hello (0.9%)          
14.04s |    380 | True  | False | None             |      30 | goodbye (98.1%)        | hello (0.9%)          
14.11s |    382 | True  | True  | Right:0.98       |      30 | goodbye (99.3%)        | hello (0.3%)          
14.19s |    384 | True  | True  | Right:1.00       |      30 | goodbye (99.5%)        | hello (0.2%)          
14.26s |    386 | True  | True  | Right:0.99       |      30 | goodbye (99.6%)        | hello (0.2%)          
14.34s |    388 | True  | False | None             |      30 | goodbye (99.6%)        | hello (0.2%)          
14.41s |    390 | True  | True  | Left:0.63        |      30 | goodbye (99.3%)        | sorry (0.2%)          
14.48s |    392 | True  | True  | Left:0.84        |      30 | goodbye (98.9%)        | sorry (0.5%)          
14.56s |    394 | True  | True  | Left:0.84        |      30 | goodbye (98.9%)        | sorry (0.4%)          
14.63s |    396 | True  | True  | Right:0.99       |      30 | goodbye (98.9%)        | hello (0.5%)          
14.71s |    398 | True  | False | None             |      30 | goodbye (98.9%)        | hello (0.5%)          
14.78s |    400 | True  | False | None             |      30 | goodbye (98.9%)        | hello (0.5%)          
14.85s |    402 | True  | False | None             |      30 | goodbye (98.9%)        | hello (0.5%)          
14.93s |    404 | True  | False | None             |      30 | goodbye (98.9%)        | hello (0.5%)          
15.00s |    406 | True  | False | None             |      30 | goodbye (98.9%)        | hello (0.5%)          
15.08s |    408 | True  | False | None             |      30 | goodbye (98.9%)        | hello (0.5%)          
15.15s |    410 | True  | False | None             |      30 | goodbye (98.9%)        | hello (0.5%)          
15.22s |    412 | True  | True  | Right:0.71       |      30 | goodbye (99.3%)        | hello (0.4%)          
15.30s |    414 | True  | True  | Right:0.93       |      30 | goodbye (99.1%)        | hello (0.7%)          
15.37s |    416 | True  | False | None             |      30 | goodbye (99.1%)        | hello (0.7%)          
15.44s |    418 | True  | False | None             |      30 | goodbye (99.1%)        | hello (0.7%)          
15.52s |    420 | True  | True  | Right:0.96       |      30 | goodbye (97.5%)        | hello (1.2%)          
15.59s |    422 | True  | False | None             |      30 | goodbye (97.5%)        | hello (1.2%)          
15.67s |    424 | True  | False | None             |      30 | goodbye (97.5%)        | hello (1.2%)          
15.74s |    426 | True  | True  | Right:0.98       |      30 | goodbye (93.7%)        | sorry (3.0%)          
15.81s |    428 | True  | False | None             |      30 | goodbye (93.7%)        | sorry (3.0%)          
15.89s |    430 | True  | False | None             |      30 | goodbye (93.7%)        | sorry (3.0%)          
15.96s |    432 | True  | True  | Right:0.96       |      30 | goodbye (83.6%)        | sorry (11.2%)         
16.04s |    434 | True  | False | None             |      30 | goodbye (83.6%)        | sorry (11.2%)         
16.11s |    436 | True  | False | None             |      30 | goodbye (83.6%)        | sorry (11.2%)         
16.18s |    438 | True  | True  | Right:0.98       |      30 | goodbye (77.7%)        | sorry (15.7%)         
16.26s |    440 | True  | False | None             |      30 | goodbye (77.7%)        | sorry (15.7%)         
16.33s |    442 | True  | False | None             |      30 | goodbye (77.7%)        | sorry (15.7%)         
16.41s |    444 | True  | False | None             |      30 | goodbye (77.7%)        | sorry (15.7%)         
16.48s |    446 | True  | False | None             |      30 | goodbye (77.7%)        | sorry (15.7%)         
16.55s |    448 | True  | True  | Right:0.73       |      30 | goodbye (82.9%)        | sorry (14.5%)         
16.63s |    450 | True  | True  | Right:0.89       |      30 | goodbye (68.7%)        | sorry (28.6%)         
